x,y,result
84.0,21.0,GOAL
70.0,22.0,SHOT
72.0,-15.0,SHOT
-31.0,-27.0,SHOT
87.0,-7.0,SHOT
52.0,26.0,SHOT
84.0,10.0,SHOT
64.0,22.0,GOAL
-68.0,21.0,SHOT
-6.0,34.0,SHOT
-55.0,4.0,SHOT
37.0,9.0,SHOT
33.0,10.0,SHOT
-67.0,20.0,SHOT
44.0,-16.0,SHOT
70.0,37.0,SHOT
-55.0,-5.0,SHOT
-38.0,8.0,SHOT
84.0,34.0,SHOT
-67.0,-20.0,SHOT
-69.0,8.0,SHOT
-84.0,11.0,SHOT
22.0,23.0,SHOT
65.0,-22.0,SHOT
35.0,-7.0,SHOT
-76.0,-7.0,GOAL
-62.0,1.0,SHOT
72.0,4.0,SHOT
-78.0,-4.0,SHOT
-73.0,34.0,SHOT
-69.0,-9.0,SHOT
35.0,-30.0,SHOT
39.0,20.0,SHOT
86.0,-27.0,SHOT
75.0,35.0,SHOT
-73.0,-17.0,SHOT
-83.0,-3.0,SHOT
77.0,-8.0,SHOT
-44.0,-23.0,SHOT
76.0,2.0,SHOT
68.0,12.0,SHOT
32.0,-3.0,SHOT
-74.0,14.0,GOAL
-69.0,-23.0,SHOT
-58.0,36.0,SHOT
79.0,-2.0,SHOT
-77.0,16.0,SHOT
75.0,1.0,SHOT
-74.0,-12.0,SHOT
-79.0,1.0,SHOT
-34.0,-6.0,SHOT
77.0,-6.0,SHOT
54.0,-21.0,SHOT
77.0,5.0,SHOT
79.0,2.0,SHOT
82.0,0.0,SHOT
57.0,-31.0,SHOT
-60.0,-25.0,SHOT
-51.0,-6.0,SHOT
-38.0,-38.0,SHOT
-67.0,13.0,SHOT
-39.0,-10.0,SHOT
-87.0,6.0,SHOT
-85.0,-36.0,SHOT
-84.0,6.0,SHOT
-32.0,-3.0,SHOT
-82.0,-10.0,GOAL
-77.0,3.0,SHOT
-84.0,-8.0,GOAL
71.0,-19.0,SHOT
84.0,-8.0,SHOT
67.0,32.0,GOAL
56.0,-8.0,SHOT
-80.0,-2.0,GOAL
81.0,9.0,SHOT
36.0,20.0,SHOT
57.0,-18.0,SHOT
81.0,16.0,SHOT
66.0,-36.0,SHOT
81.0,3.0,GOAL
47.0,-28.0,SHOT
73.0,-8.0,SHOT
77.0,-2.0,SHOT
81.0,7.0,SHOT
40.0,23.0,SHOT
83.0,5.0,SHOT
40.0,-2.0,SHOT
-57.0,8.0,SHOT
33.0,-5.0,SHOT
-65.0,10.0,GOAL
33.0,-16.0,SHOT
76.0,8.0,SHOT
78.0,0.0,SHOT
60.0,4.0,SHOT
-70.0,-1.0,SHOT
86.0,-3.0,SHOT
70.0,18.0,GOAL
-76.0,18.0,SHOT
-36.0,10.0,SHOT
94.0,-33.0,SHOT
37.0,-9.0,SHOT
77.0,0.0,SHOT
-47.0,-18.0,SHOT
72.0,-28.0,SHOT
54.0,1.0,SHOT
33.0,-31.0,SHOT
-52.0,-36.0,SHOT
-75.0,-33.0,SHOT
-85.0,-15.0,SHOT
-52.0,14.0,SHOT
-53.0,-3.0,SHOT
-84.0,10.0,SHOT
-85.0,-14.0,SHOT
-64.0,20.0,SHOT
-52.0,-2.0,SHOT
72.0,3.0,SHOT
-78.0,22.0,SHOT
-32.0,-8.0,SHOT
-57.0,16.0,SHOT
81.0,20.0,SHOT
-67.0,-18.0,SHOT
-81.0,10.0,GOAL
76.0,14.0,GOAL
-81.0,-1.0,SHOT
54.0,1.0,SHOT
-63.0,-17.0,SHOT
37.0,26.0,SHOT
69.0,-1.0,SHOT
47.0,-15.0,SHOT
-39.0,4.0,SHOT
-76.0,-23.0,GOAL
49.0,1.0,SHOT
71.0,-8.0,SHOT
-75.0,-7.0,GOAL
-37.0,12.0,SHOT
47.0,31.0,SHOT
-34.0,17.0,SHOT
-77.0,14.0,SHOT
-80.0,-12.0,SHOT
69.0,-20.0,SHOT
46.0,-35.0,SHOT
-46.0,6.0,SHOT
77.0,1.0,SHOT
-78.0,-16.0,GOAL
-70.0,3.0,SHOT
-36.0,-28.0,SHOT
40.0,2.0,SHOT
32.0,-11.0,SHOT
-41.0,-28.0,SHOT
-77.0,12.0,GOAL
-57.0,-23.0,SHOT
-75.0,8.0,SHOT
35.0,14.0,SHOT
74.0,-7.0,SHOT
-61.0,-13.0,SHOT
26.0,36.0,SHOT
-73.0,-3.0,SHOT
-53.0,-16.0,SHOT
-81.0,-14.0,SHOT
-32.0,35.0,SHOT
-36.0,-3.0,SHOT
-40.0,-33.0,SHOT
-80.0,-33.0,SHOT
-78.0,-2.0,SHOT
-80.0,-3.0,SHOT
61.0,-30.0,SHOT
-49.0,7.0,SHOT
74.0,-1.0,SHOT
36.0,-5.0,SHOT
76.0,16.0,SHOT
5.0,5.0,SHOT
-64.0,-2.0,SHOT
77.0,5.0,GOAL
43.0,31.0,SHOT
47.0,27.0,SHOT
37.0,27.0,SHOT
52.0,1.0,SHOT
43.0,-21.0,SHOT
-31.0,-33.0,SHOT
80.0,8.0,SHOT
74.0,-5.0,SHOT
-54.0,-32.0,SHOT
85.0,-21.0,SHOT
37.0,33.0,SHOT
45.0,40.0,SHOT
36.0,36.0,SHOT
-25.0,-19.0,SHOT
-40.0,-23.0,SHOT
45.0,21.0,SHOT
67.0,7.0,SHOT
66.0,4.0,SHOT
66.0,-37.0,SHOT
32.0,-32.0,SHOT
66.0,-12.0,SHOT
51.0,-11.0,SHOT
10.0,24.0,SHOT
84.0,-6.0,SHOT
-42.0,-13.0,SHOT
-81.0,-3.0,SHOT
83.0,-7.0,SHOT
-83.0,6.0,SHOT
69.0,17.0,SHOT
78.0,-4.0,SHOT
-48.0,-5.0,SHOT
72.0,-14.0,SHOT
77.0,1.0,SHOT
72.0,14.0,SHOT
-8.0,-25.0,SHOT
-70.0,2.0,SHOT
-75.0,-30.0,SHOT
-69.0,17.0,SHOT
79.0,5.0,SHOT
68.0,18.0,SHOT
-77.0,-21.0,SHOT
-51.0,28.0,SHOT
71.0,-35.0,SHOT
-61.0,18.0,GOAL
55.0,24.0,SHOT
-42.0,-1.0,SHOT
76.0,-33.0,SHOT
35.0,24.0,SHOT
-50.0,33.0,SHOT
86.0,27.0,SHOT
77.0,1.0,GOAL
-64.0,1.0,SHOT
-50.0,-31.0,SHOT
80.0,-3.0,SHOT
-82.0,-17.0,SHOT
-46.0,31.0,SHOT
-71.0,18.0,SHOT
-35.0,21.0,SHOT
-88.0,29.0,SHOT
45.0,-34.0,SHOT
62.0,26.0,SHOT
-55.0,-38.0,SHOT
86.0,-14.0,SHOT
44.0,16.0,SHOT
38.0,23.0,SHOT
87.0,-22.0,SHOT
75.0,3.0,SHOT
81.0,-3.0,SHOT
45.0,-1.0,SHOT
84.0,5.0,SHOT
40.0,-5.0,GOAL
65.0,-1.0,SHOT
-72.0,0.0,SHOT
63.0,14.0,SHOT
-87.0,-7.0,SHOT
64.0,-19.0,SHOT
69.0,-9.0,SHOT
-60.0,27.0,SHOT
12.0,28.0,SHOT
-70.0,-26.0,SHOT
63.0,-35.0,SHOT
12.0,2.0,SHOT
-78.0,17.0,SHOT
-83.0,-10.0,SHOT
-77.0,-1.0,SHOT
-80.0,0.0,GOAL
-34.0,18.0,SHOT
-36.0,-2.0,SHOT
51.0,18.0,GOAL
80.0,-5.0,SHOT
-76.0,-14.0,GOAL
-35.0,-10.0,GOAL
80.0,-7.0,GOAL
-84.0,-29.0,SHOT
-78.0,-2.0,GOAL
15.0,-9.0,SHOT
40.0,7.0,SHOT
-58.0,7.0,SHOT
-60.0,17.0,SHOT
-78.0,-2.0,SHOT
-70.0,1.0,SHOT
-84.0,-25.0,SHOT
-83.0,-10.0,SHOT
73.0,30.0,SHOT
-78.0,-5.0,SHOT
-42.0,-6.0,GOAL
41.0,20.0,SHOT
-51.0,-35.0,SHOT
-70.0,5.0,SHOT
51.0,12.0,SHOT
78.0,-8.0,SHOT
-38.0,-19.0,SHOT
68.0,-15.0,GOAL
79.0,2.0,SHOT
91.0,18.0,SHOT
60.0,14.0,SHOT
38.0,3.0,SHOT
-62.0,-12.0,SHOT
60.0,16.0,SHOT
16.0,-12.0,SHOT
-82.0,-13.0,SHOT
-78.0,-7.0,SHOT
48.0,-14.0,SHOT
-42.0,21.0,SHOT
80.0,12.0,SHOT
-73.0,25.0,SHOT
-56.0,5.0,SHOT
-76.0,1.0,SHOT
74.0,-5.0,SHOT
-77.0,3.0,SHOT
-39.0,22.0,SHOT
-81.0,7.0,SHOT
-5.0,-14.0,SHOT
-83.0,-14.0,SHOT
-67.0,9.0,GOAL
-36.0,-26.0,SHOT
-81.0,3.0,GOAL
87.0,-12.0,SHOT
-80.0,-7.0,SHOT
-78.0,-1.0,SHOT
48.0,2.0,SHOT
71.0,29.0,SHOT
-52.0,-18.0,SHOT
74.0,15.0,SHOT
73.0,-12.0,GOAL
82.0,8.0,SHOT
-57.0,-10.0,SHOT
-44.0,-18.0,SHOT
36.0,-12.0,SHOT
84.0,-10.0,SHOT
78.0,2.0,SHOT
66.0,12.0,SHOT
-37.0,28.0,SHOT
59.0,6.0,SHOT
71.0,10.0,SHOT
-85.0,-18.0,SHOT
-37.0,7.0,SHOT
-61.0,5.0,GOAL
-73.0,10.0,GOAL
78.0,9.0,SHOT
-58.0,-1.0,SHOT
78.0,15.0,SHOT
61.0,16.0,SHOT
-74.0,-1.0,SHOT
-48.0,3.0,GOAL
-54.0,-21.0,SHOT
-55.0,-23.0,SHOT
-19.0,-34.0,SHOT
-65.0,-17.0,SHOT
23.0,28.0,SHOT
-33.0,27.0,SHOT
-73.0,-20.0,SHOT
-37.0,-28.0,SHOT
-69.0,-36.0,SHOT
61.0,11.0,SHOT
81.0,33.0,SHOT
66.0,0.0,SHOT
-12.0,-25.0,SHOT
43.0,-35.0,SHOT
46.0,1.0,SHOT
-67.0,-3.0,SHOT
-80.0,3.0,SHOT
-87.0,-20.0,SHOT
-78.0,6.0,SHOT
-30.0,18.0,SHOT
-37.0,31.0,SHOT
49.0,-40.0,SHOT
-83.0,21.0,SHOT
81.0,-5.0,SHOT
87.0,-11.0,SHOT
-35.0,-27.0,SHOT
-74.0,-1.0,SHOT
65.0,-15.0,SHOT
54.0,-17.0,SHOT
85.0,7.0,SHOT
75.0,3.0,SHOT
62.0,12.0,SHOT
-87.0,-9.0,SHOT
-30.0,-27.0,SHOT
42.0,-7.0,SHOT
63.0,19.0,SHOT
65.0,-25.0,SHOT
53.0,-38.0,SHOT
74.0,4.0,SHOT
-78.0,-10.0,GOAL
62.0,37.0,SHOT
70.0,4.0,SHOT
-70.0,21.0,SHOT
63.0,21.0,SHOT
-54.0,18.0,SHOT
-51.0,-10.0,SHOT
-82.0,24.0,SHOT
-60.0,28.0,SHOT
-60.0,-2.0,SHOT
-45.0,35.0,SHOT
-66.0,40.0,SHOT
-79.0,-14.0,SHOT
-60.0,21.0,SHOT
69.0,-13.0,SHOT
-55.0,0.0,SHOT
-78.0,-36.0,SHOT
83.0,8.0,SHOT
35.0,-2.0,SHOT
64.0,22.0,SHOT
-54.0,28.0,SHOT
-55.0,-29.0,SHOT
-75.0,3.0,GOAL
-73.0,13.0,SHOT
-90.0,-8.0,SHOT
-52.0,-23.0,SHOT
-69.0,19.0,GOAL
-67.0,25.0,SHOT
76.0,1.0,SHOT
49.0,37.0,SHOT
35.0,26.0,SHOT
85.0,-18.0,SHOT
-35.0,-1.0,GOAL
-78.0,36.0,SHOT
77.0,2.0,GOAL
-71.0,14.0,SHOT
-51.0,1.0,SHOT
-43.0,27.0,SHOT
-77.0,3.0,SHOT
-30.0,-23.0,SHOT
-54.0,-39.0,SHOT
-37.0,23.0,SHOT
73.0,-32.0,SHOT
-47.0,-20.0,SHOT
-52.0,-17.0,SHOT
-44.0,-25.0,SHOT
55.0,16.0,SHOT
-45.0,-22.0,GOAL
62.0,1.0,GOAL
-40.0,-27.0,SHOT
85.0,8.0,GOAL
-32.0,-25.0,SHOT
-44.0,-16.0,SHOT
-45.0,-14.0,SHOT
44.0,-4.0,SHOT
-33.0,-29.0,SHOT
-46.0,20.0,SHOT
39.0,-16.0,SHOT
67.0,1.0,SHOT
-48.0,20.0,SHOT
84.0,-7.0,SHOT
-38.0,24.0,SHOT
-35.0,27.0,SHOT
34.0,-18.0,SHOT
-62.0,37.0,SHOT
84.0,10.0,SHOT
60.0,1.0,SHOT
42.0,12.0,SHOT
-79.0,21.0,SHOT
-85.0,-17.0,SHOT
-70.0,-14.0,SHOT
-39.0,22.0,SHOT
37.0,31.0,SHOT
79.0,-4.0,SHOT
79.0,6.0,SHOT
-74.0,19.0,SHOT
-42.0,-33.0,SHOT
-42.0,-13.0,SHOT
-73.0,3.0,SHOT
-34.0,-27.0,SHOT
-46.0,-30.0,SHOT
-33.0,4.0,SHOT
-75.0,-21.0,SHOT
85.0,-4.0,SHOT
-60.0,1.0,GOAL
-55.0,18.0,SHOT
75.0,10.0,SHOT
-57.0,32.0,SHOT
32.0,13.0,SHOT
-86.0,5.0,SHOT
-47.0,-2.0,SHOT
-53.0,31.0,SHOT
-4.0,24.0,SHOT
68.0,-27.0,SHOT
83.0,-15.0,GOAL
-72.0,22.0,SHOT
-8.0,11.0,SHOT
83.0,-32.0,SHOT
71.0,-11.0,GOAL
38.0,21.0,SHOT
-3.0,-11.0,SHOT
-37.0,-7.0,SHOT
-82.0,-2.0,SHOT
84.0,3.0,SHOT
79.0,-12.0,SHOT
79.0,4.0,SHOT
-82.0,3.0,SHOT
32.0,-19.0,SHOT
47.0,17.0,SHOT
44.0,-17.0,SHOT
47.0,-17.0,SHOT
-55.0,-30.0,SHOT
-49.0,18.0,SHOT
41.0,-24.0,SHOT
-47.0,28.0,SHOT
-72.0,-7.0,SHOT
-84.0,-16.0,SHOT
61.0,6.0,SHOT
74.0,6.0,GOAL
79.0,-34.0,SHOT
-73.0,1.0,SHOT
45.0,13.0,SHOT
53.0,12.0,SHOT
-81.0,5.0,GOAL
-83.0,-26.0,SHOT
82.0,-4.0,SHOT
55.0,-28.0,SHOT
75.0,5.0,GOAL
-38.0,-22.0,SHOT
82.0,-11.0,SHOT
-48.0,-25.0,SHOT
53.0,-13.0,SHOT
82.0,-3.0,SHOT
45.0,-27.0,SHOT
-41.0,-25.0,SHOT
-50.0,-30.0,SHOT
41.0,17.0,SHOT
37.0,-16.0,SHOT
82.0,-2.0,SHOT
75.0,-1.0,SHOT
84.0,-3.0,SHOT
78.0,-2.0,SHOT
75.0,8.0,SHOT
85.0,-8.0,SHOT
77.0,-23.0,SHOT
44.0,23.0,SHOT
40.0,28.0,SHOT
67.0,16.0,SHOT
-54.0,-18.0,SHOT
70.0,1.0,SHOT
79.0,-2.0,SHOT
64.0,-16.0,SHOT
61.0,13.0,SHOT
-49.0,13.0,GOAL
51.0,19.0,SHOT
73.0,0.0,SHOT
45.0,27.0,SHOT
-70.0,9.0,SHOT
72.0,-3.0,SHOT
-74.0,10.0,SHOT
-61.0,-16.0,GOAL
-63.0,-18.0,SHOT
-71.0,-11.0,SHOT
-73.0,16.0,SHOT
-66.0,2.0,SHOT
41.0,-3.0,SHOT
78.0,-12.0,SHOT
51.0,1.0,SHOT
66.0,14.0,SHOT
-58.0,13.0,SHOT
-81.0,3.0,SHOT
-57.0,23.0,SHOT
64.0,3.0,SHOT
39.0,29.0,SHOT
-73.0,-3.0,SHOT
-50.0,32.0,SHOT
-62.0,-12.0,SHOT
-59.0,-8.0,SHOT
-58.0,-8.0,SHOT
-61.0,-5.0,SHOT
60.0,-21.0,SHOT
59.0,1.0,SHOT
74.0,7.0,SHOT
72.0,-35.0,SHOT
65.0,-3.0,SHOT
78.0,18.0,SHOT
73.0,-6.0,SHOT
-55.0,-20.0,SHOT
-68.0,-12.0,SHOT
-60.0,15.0,SHOT
42.0,-31.0,SHOT
-57.0,-17.0,SHOT
-81.0,-17.0,SHOT
82.0,-8.0,SHOT
84.0,-5.0,SHOT
44.0,-9.0,SHOT
41.0,23.0,SHOT
-66.0,-10.0,SHOT
71.0,-19.0,SHOT
83.0,-3.0,SHOT
-66.0,-27.0,SHOT
-74.0,7.0,SHOT
63.0,17.0,SHOT
-71.0,-5.0,GOAL
-80.0,6.0,GOAL
-78.0,7.0,GOAL
83.0,3.0,SHOT
64.0,-2.0,SHOT
66.0,13.0,SHOT
73.0,-16.0,SHOT
-21.0,12.0,SHOT
-80.0,5.0,GOAL
54.0,22.0,SHOT
84.0,-9.0,SHOT
67.0,9.0,SHOT
84.0,-6.0,SHOT
82.0,-5.0,SHOT
71.0,6.0,GOAL
78.0,-2.0,SHOT
38.0,33.0,SHOT
73.0,17.0,SHOT
-67.0,30.0,SHOT
-43.0,-20.0,SHOT
-78.0,-1.0,SHOT
43.0,17.0,SHOT
-58.0,29.0,SHOT
-46.0,-12.0,SHOT
-86.0,13.0,SHOT
62.0,13.0,SHOT
35.0,-21.0,SHOT
-66.0,-7.0,SHOT
81.0,-2.0,SHOT
-85.0,-24.0,SHOT
87.0,-8.0,SHOT
35.0,-25.0,SHOT
51.0,-14.0,SHOT
-68.0,18.0,SHOT
-39.0,-6.0,SHOT
73.0,16.0,SHOT
-54.0,7.0,SHOT
-76.0,-12.0,SHOT
44.0,-24.0,SHOT
75.0,9.0,GOAL
78.0,0.0,GOAL
-81.0,-6.0,SHOT
7.0,14.0,SHOT
67.0,-14.0,GOAL
-22.0,-18.0,SHOT
-82.0,6.0,SHOT
78.0,-21.0,SHOT
58.0,-14.0,SHOT
78.0,-4.0,SHOT
-39.0,-27.0,SHOT
-78.0,0.0,SHOT
-79.0,-3.0,SHOT
-73.0,-12.0,SHOT
64.0,-10.0,SHOT
-77.0,10.0,SHOT
-64.0,-36.0,SHOT
-80.0,18.0,SHOT
82.0,-15.0,SHOT
44.0,26.0,SHOT
56.0,21.0,SHOT
72.0,34.0,SHOT
58.0,-11.0,SHOT
74.0,0.0,SHOT
77.0,-5.0,SHOT
-55.0,-9.0,SHOT
80.0,5.0,SHOT
-73.0,5.0,SHOT
-14.0,14.0,SHOT
36.0,-18.0,SHOT
-72.0,17.0,SHOT
67.0,5.0,SHOT
-87.0,-16.0,SHOT
40.0,24.0,SHOT
-67.0,3.0,SHOT
-55.0,4.0,SHOT
82.0,-9.0,SHOT
-70.0,3.0,SHOT
-88.0,4.0,SHOT
54.0,-30.0,SHOT
-35.0,-7.0,SHOT
80.0,-4.0,GOAL
-64.0,-37.0,SHOT
-67.0,-5.0,GOAL
-37.0,32.0,SHOT
-32.0,14.0,SHOT
-40.0,32.0,SHOT
67.0,-3.0,SHOT
75.0,3.0,SHOT
-41.0,7.0,SHOT
-84.0,22.0,SHOT
-84.0,4.0,SHOT
-32.0,15.0,SHOT
-52.0,-12.0,SHOT
-68.0,20.0,SHOT
-66.0,0.0,SHOT
-47.0,-21.0,SHOT
-83.0,4.0,SHOT
-81.0,5.0,SHOT
9.0,-5.0,SHOT
72.0,17.0,SHOT
73.0,24.0,SHOT
68.0,0.0,SHOT
54.0,22.0,SHOT
61.0,18.0,SHOT
60.0,2.0,SHOT
87.0,-5.0,GOAL
84.0,6.0,SHOT
-37.0,32.0,SHOT
52.0,-13.0,SHOT
60.0,-30.0,SHOT
-80.0,6.0,SHOT
36.0,2.0,SHOT
58.0,21.0,SHOT
34.0,-10.0,SHOT
-81.0,0.0,SHOT
-81.0,1.0,SHOT
-84.0,1.0,SHOT
-43.0,2.0,SHOT
78.0,-18.0,SHOT
63.0,-13.0,SHOT
67.0,18.0,SHOT
34.0,-30.0,SHOT
-79.0,20.0,SHOT
-45.0,4.0,SHOT
-69.0,-20.0,SHOT
38.0,22.0,SHOT
75.0,9.0,SHOT
-78.0,21.0,SHOT
73.0,8.0,SHOT
-62.0,-13.0,SHOT
-46.0,-20.0,SHOT
77.0,34.0,SHOT
-16.0,-36.0,SHOT
78.0,0.0,SHOT
-60.0,16.0,SHOT
22.0,-2.0,SHOT
-82.0,-3.0,SHOT
-62.0,-23.0,GOAL
-31.0,8.0,SHOT
-83.0,-1.0,SHOT
45.0,32.0,SHOT
84.0,-12.0,GOAL
-63.0,0.0,SHOT
-70.0,4.0,SHOT
73.0,35.0,SHOT
63.0,26.0,SHOT
88.0,-2.0,GOAL
88.0,18.0,SHOT
32.0,-29.0,SHOT
-78.0,-6.0,SHOT
-80.0,1.0,SHOT
-33.0,1.0,SHOT
-84.0,-5.0,GOAL
90.0,-9.0,SHOT
60.0,19.0,SHOT
-31.0,23.0,SHOT
-64.0,11.0,GOAL
-73.0,3.0,GOAL
43.0,-22.0,SHOT
71.0,-7.0,SHOT
64.0,22.0,SHOT
72.0,-14.0,SHOT
62.0,-20.0,SHOT
79.0,3.0,SHOT
71.0,-5.0,SHOT
-42.0,-13.0,SHOT
-82.0,3.0,SHOT
-61.0,-31.0,SHOT
-66.0,-18.0,SHOT
-82.0,1.0,SHOT
42.0,-9.0,SHOT
-70.0,-12.0,SHOT
78.0,5.0,SHOT
-82.0,-2.0,GOAL
60.0,14.0,SHOT
-66.0,33.0,SHOT
-81.0,-1.0,SHOT
55.0,-27.0,SHOT
75.0,-1.0,SHOT
-79.0,5.0,SHOT
84.0,3.0,SHOT
-63.0,-37.0,SHOT
-49.0,17.0,GOAL
44.0,8.0,SHOT
-39.0,-24.0,SHOT
83.0,5.0,SHOT
-84.0,4.0,SHOT
-82.0,1.0,SHOT
41.0,-16.0,SHOT
-39.0,-23.0,SHOT
-43.0,8.0,SHOT
36.0,13.0,SHOT
37.0,-6.0,SHOT
85.0,-3.0,GOAL
-42.0,-24.0,SHOT
-81.0,3.0,SHOT
-67.0,-11.0,SHOT
84.0,-2.0,SHOT
-53.0,18.0,SHOT
-48.0,-20.0,SHOT
36.0,-15.0,SHOT
65.0,-20.0,SHOT
79.0,-11.0,SHOT
74.0,-3.0,SHOT
23.0,26.0,SHOT
-54.0,17.0,SHOT
-61.0,12.0,SHOT
-78.0,-2.0,SHOT
-56.0,-27.0,SHOT
64.0,30.0,SHOT
-52.0,-13.0,SHOT
-53.0,26.0,SHOT
43.0,-24.0,SHOT
77.0,0.0,GOAL
64.0,-15.0,SHOT
-61.0,-4.0,SHOT
-57.0,2.0,SHOT
-84.0,-2.0,SHOT
45.0,-20.0,SHOT
-76.0,4.0,SHOT
-75.0,-1.0,SHOT
-42.0,6.0,SHOT
-58.0,21.0,SHOT
40.0,21.0,SHOT
42.0,27.0,SHOT
66.0,-8.0,SHOT
-57.0,5.0,SHOT
-50.0,18.0,SHOT
28.0,-27.0,SHOT
34.0,22.0,SHOT
61.0,-27.0,SHOT
-45.0,30.0,SHOT
-48.0,-16.0,SHOT
60.0,-2.0,SHOT
-62.0,-1.0,GOAL
85.0,5.0,SHOT
-49.0,23.0,SHOT
-82.0,5.0,SHOT
39.0,29.0,SHOT
26.0,3.0,SHOT
-66.0,5.0,SHOT
-74.0,1.0,SHOT
-82.0,1.0,SHOT
45.0,-14.0,SHOT
-50.0,-10.0,SHOT
77.0,0.0,SHOT
-45.0,26.0,SHOT
-70.0,-1.0,SHOT
55.0,24.0,SHOT
71.0,-7.0,SHOT
-87.0,31.0,SHOT
-82.0,-3.0,SHOT
-72.0,3.0,SHOT
76.0,2.0,GOAL
-62.0,-39.0,SHOT
78.0,-25.0,SHOT
78.0,-24.0,GOAL
36.0,21.0,SHOT
64.0,-20.0,SHOT
33.0,-31.0,SHOT
-67.0,13.0,SHOT
70.0,2.0,SHOT
-29.0,-1.0,SHOT
-83.0,5.0,GOAL
-72.0,9.0,SHOT
-41.0,-36.0,SHOT
85.0,-7.0,GOAL
82.0,-23.0,SHOT
-34.0,26.0,SHOT
-70.0,5.0,SHOT
55.0,12.0,SHOT
-39.0,30.0,SHOT
44.0,-32.0,SHOT
-46.0,-1.0,SHOT
-57.0,-10.0,SHOT
83.0,1.0,SHOT
85.0,2.0,SHOT
-83.0,20.0,SHOT
-41.0,1.0,SHOT
-66.0,2.0,SHOT
66.0,7.0,SHOT
77.0,11.0,SHOT
-64.0,6.0,SHOT
-81.0,20.0,SHOT
-73.0,-19.0,SHOT
-58.0,-35.0,SHOT
-66.0,20.0,SHOT
82.0,6.0,SHOT
61.0,-3.0,SHOT
-79.0,0.0,SHOT
68.0,3.0,SHOT
76.0,-1.0,SHOT
81.0,-6.0,SHOT
82.0,-5.0,SHOT
-75.0,-4.0,SHOT
19.0,-39.0,SHOT
71.0,14.0,SHOT
-81.0,0.0,SHOT
75.0,-11.0,SHOT
-78.0,-20.0,SHOT
57.0,23.0,SHOT
-84.0,-10.0,SHOT
-82.0,2.0,GOAL
79.0,0.0,SHOT
16.0,-35.0,SHOT
-64.0,-28.0,SHOT
-11.0,35.0,SHOT
-87.0,7.0,SHOT
-77.0,24.0,SHOT
-66.0,39.0,SHOT
-68.0,35.0,SHOT
-34.0,-20.0,SHOT
-35.0,26.0,SHOT
-54.0,31.0,SHOT
-71.0,6.0,SHOT
-85.0,8.0,SHOT
35.0,-31.0,SHOT
-77.0,-19.0,SHOT
60.0,-3.0,SHOT
67.0,11.0,GOAL
74.0,6.0,SHOT
57.0,35.0,SHOT
-39.0,-5.0,SHOT
-79.0,8.0,SHOT
-65.0,32.0,SHOT
-82.0,9.0,GOAL
72.0,-12.0,SHOT
-80.0,-22.0,SHOT
